Date,Start,End,Site,Terr.Num,F.Species,F.Phase,F.Size,Harem,Int.Species,Int.Phase,Int.Type,Int.Size,Est.Size,Boundary,Interact,Preceed.Int,Preceed.Int.Phase,Duration,Chase,Charge.Display,Both,Mating,Duration.Exact,Comment
7/7/2021,10:42,11:27,IV,5,Sp viride,TP,29,3,Sp viride,TP,Neighbor,Similar,,W,Y,Y,TP,7.25,Y,Y,Y,N,Y,"Chase and display with similar sized deep neighbor (same as previous, with short pause between them)"
7/7/2021,10:42,11:27,IV,5,Sp viride,TP,29,3,Sp viride,IP,,,,,Y,,,2.74,N,Y,N,N,Y,Charge
7/7/2021,10:42,11:27,IV,5,Sp viride,TP,29,3,Sp viride,IP,,,,,Y,,,6.53,Y,N,N,N,Y,Chase
7/7/2021,10:42,11:27,IV,5,Sp viride,TP,29,3,Sp viride,IP,,,,,Y,,,6.27,Y,N,N,N,Y,Chase
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Floater,Similar,,E,Y,,,13.76,Y,Y,Y,N,Y,Chase and display with similar sized floater(?). Went shallow and eventually swam south.
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Floater,Smaller,,N,Y,,,16.4,Y,N,N,N,N,Chased smaller floater north. Started the stopwatch slightly slow.  
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Floater,Smaller,,N,Y,M,TP,4.06,Y,N,N,N,Y,Neighbor chased the prior floater back and then the focal chased it again briefly.
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Neighbor,Similar,,S,N,,,19.18,N,N,N,N,Y,"South neighbor approached, both stared, but no obvious display or interaction."
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Neighbor,Similar,,S,N,,,,,,,,,South neighbor passed within 5-meters and focal didn't acknowledge
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Neighbor,Similar,,W,N,,,,,,,,,Similar sized deep neighbor within 10-meters and focal didn't react
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Floater,Smaller,,E,Y,,,1,N,Y,N,N,N,Slight display at passing floater in shallower water headed south. Barely acknowledged. Was less than 1second display. 
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Neighbor,Similar,,W,N,,,,,,,,,Deeper neighbor saw focal approaching shared boundary and appeared to swim deeper to avoid interaction
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,IP,,,,,Y,,,2.82,,Y,,,,Charge
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,IP,,,,,Y,,,4.07,,Y,,,,Charge
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,IP,,,,,Y,,,7.17,Y,,,,,Chased IP out of territory into another territory
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,TP,Neighbor,Similar,,,Y,Y,IP,5.82,Y,,,,Y,Chased back by neighbor after chasing the prior initial phase fish out of the focal territory.
7/7/2021,12:42,13:27,AQ,1,Sp viride,TP,29,3,Sp viride,IP,,,,,Y,,,22.82,Y,Y,Y,,,"Chase + display. Slow chase/follow, not very aggressive."
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,TP,Neighbor,Similar,28,N,Y,Y,IP,31.4,Y,Y,Y,N,Y,"After chasing IP north into another territory, the N. neighbor began to interact with the focal, engaging in charge, chase, and display near the boundary."
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,TP,Neighbor,Similar,,S,Y,Y,IP,68.73,Y,Y,Y,N,N,"This interaction is part of one long interaction (91.64s total - 3/4 for this TP). The focal chased an IP to the south, which elicited a response from a S. neighbor (this fish). About 3/4 of the way into the interaction another TP began interacting with the focal for the remaining 1/4 of the time before the focal chased an IP shallow and away from the southern boundary. "
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,TP,Neighbor,Similar,,S,Y,Y,TP,22.91,Y,Y,Y,N,N,"This interaction is part of one long interaction (91.64s total - 1/4 for this TP). The focal chased an IP to the south, which elicited a response from a S. neighbor. About 3/4 of the way into the interaction another TP (this fish) began interacting with the focal for the remaining 1/4 of the time before the focal chased an IP shallow and away from the southern boundary. "
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,UNK,UNK,UNK,,,Y,,,6.36,,Y,N,N,Y,Charged at something but unsure what. 
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,4.25,N,Y,N,N,Y,Charge
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,12.08,Y,N,N,N,Y,Chase
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,6.43,Y,N,N,N,N,"Chase, started a little late."
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,6.49,Y,N,N,N,Y,Chase
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,9.26,Y,N,N,N,Y,Chase
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,7.27,Y,N,N,N,Y,Chase
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,6.26,Y,N,N,N,Y,Chase
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,0.5,N,Y,N,N,Y,Display
7/7/2021,13:32,14:17,AQ,2,Sp viride,TP,28,"3,4",Sp viride,IP,,,,,Y,,,11.53,N,Y,N,N,Y,Charge+Display
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,TP,Floater,Smaller,,,Y,,,15.69,Y,N,N,N,Y,Aggressive chase with smaller floater
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,TP,Floater,Smaller,,E,Y,,,34.83,Y,Y,Y,N,Y,"Chase and display at slightly smaller floater, neighbor took over at deep boundary. Started shallow, went south, then deep. "
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,TP,Neighbor,Similar,,SW,N,,,,,,,,,"Passed deep neighbor near SW tile, no interaction."
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,TP,Neighbor,Similar,28,,Y,,,13.34,N,Y,N,N,Y,Deep neighbor charged and displayed at focal
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,TP,Neighbor,Similar,,,Y,,,30.67,N,Y,N,N,Y,"Charge and display at neighbor. 2 IPs in water column w/neighbor, possibly mating. "
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,TP,Neighbor,Similar,,,Y,M,TP,19.63,N,Y,N,N,Y,"Charge and display at same neighbor after short pause following first charge and display. 2 IPs in water column w/neighbor, possibly mating. Other TP seemed to win though focal initiated. Focal ended displays first and swam back into territory. "
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,TP,Floater,Smaller,,E,Y,,,18.23,Y,N,N,N,Y,Chased smaller floater along shalllow boundary
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,IP,,,,,Y,,,0.95,N,Y,N,N,Y,Charge
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,IP,,,,,Y,,,2.23,N,Y,N,N,Y,Charge
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,IP,,,,,Y,,,1.49,N,Y,N,N,Y,Charge
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,IP,,,,,Y,,,4.9,Y,N,N,N,Y,Chase
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,IP,,,,,Y,,,4.06,Y,N,N,N,Y,Chase
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,IP,,,,,Y,,,10.13,Y,N,N,N,Y,Chase
7/7/2021,15:36,16:21,AQ,3,Sp viride,TP,28,7,Sp viride,IP,,,,,Y,,,7.17,Y,N,N,N,Y,Chase
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,TP,Neighbor,Similar,,NW,N,,,,,,,,,"Similar sized deep N? neighbor w/in 5m with no interaction, even though focal chased an IP near. "
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,TP,Neighbor,Similar,,S,Y,Y,IP,32,Y,Y,Y,N,N,Similarly sized south neighbor charged chased and displayed at focal after the focal chased an IP (non haremic?) into its territory. The focal displayed an charged at neighbor once too. This interaction was followed immediately by an interaction with a floater. Total interaction was 49.17s. This interaction was approx. 32 seconds.
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,TP,Floater,Smaller,26,,Y,Y,TP,17,Y,N,N,N,N,This interaction immediately followed the prior interaction with a neighbor. Total interaction was 49.17s. This interaction was approx. 17 seconds.
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,TP,Neighbor,Similar,,W,N,,,,,,,,,Passed within 10m of deep neighbor with no interaction.
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,2.75,N,Y,N,N,Y,Charge
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,3.48,N,Y,N,N,Y,"Charge (during this two TPs got chased, see previous)"
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,3.68,N,Y,N,N,Y,Charge
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,8.46,Y,N,N,N,Y,Chase
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,N,,,30.1,Y,N,N,N,Y,"Chase, non-aggressive and seemed mostly like it was just following..."
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,5.53,Y,N,N,N,Y,Chase
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,7.86,Y,N,N,N,Y,Chase
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,10.98,Y,Y,Y,N,Y,Chase and display
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,8.68,Y,Y,Y,N,Y,Chase and display
7/8/2021,10:57,11:42,AQ,4,Sp viride,TP,29.5,3,Sp viride,IP,,,,,Y,,,7.2,Y,Y,Y,N,Y,Chase and display
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,TP,Neighbor,Similar,28,SW,Y,,,12.17,Y,Y,Y,N,Y,Charge/chase at deep south neighbor (27-28cm) with no obvious display.
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,TP,Floater,Smaller,,W,Y,,,20.46,Y,N,N,N,N,"Chased an apparent floater aggressively down the reef slope, 20.46s from start to losing visual."
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,TP,Neighbor,Similar,28,SW,Y,Y,TP,80.94,N,Y,N,N,N,Estimated time from total time from start of previous chase to when these two stopped. Focal ascended rapidly and began to charge/display with SW deep neighbor
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,TP,Neighbor,Similar,28,SW,Y,,,7.17,Y,Y,Y,N,Y,Charge/chase deep south neighbor (28cm)
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,TP,Neighbor,Similar,,NW,N,Y,IP,,,,,,,"Focal chased (non haremic?) IP to within 5-10 meters of deep N. neighbor, with no interaction."
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,IP,,,,,Y,,,2.09,N,Y,N,N,Y,Charge
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,IP,,,,,Y,,,1.41,N,Y,N,N,Y,Charge
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,IP,,,,,Y,,,1.86,N,Y,N,N,Y,Charge
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,IP,,,,,Y,,,6.5,Y,N,N,N,Y,Chase
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,IP,,,,,N,,,12.6,Y,N,N,N,Y,"Chase (non-aggressive, but followed with purpose?)"
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,IP,,,,,Y,,,7.53,Y,N,N,N,Y,Chase
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,IP,,,,,Y,,,4.13,Y,Y,Y,N,Y,Chase and display (non haremic? Chased south out of territory)
7/8/2021,11:51,12:36,AQ,5,Sp viride,TP,29,6,Sp viride,IP,,,,,Y,,,18.01,Y,Y,Y,N,Y,Chase and display
